system:index,control_P95_C,control_mean_C,control_median_C,control_valid_pixels,date,delta_P95_C,delta_median_C,month,scene_count,site_P90_C,site_P95_C,site_max_C,site_mean_C,site_median_C,site_valid_pixels,year,.geo,pixel_coverage_fraction,good_pixel_coverage,monthly_median_delta,monthly_MAD_delta,robust_Z,thermal_class
0,31.838657262800027,27.392837380796927,27.220372938660876,3670,2018-01-12,3.679559311339148,1.2534487153391431,1,2,30.520532030000027,30.89993225000002,31.841596760000016,28.450370952170807,28.473821654000016,294,2018,"{""type"":""MultiPoint"",""coordinates"":[]}",1.0,True,9.282853171546076,1.3636745011020182,-2.7714604389004225,Background range
1,28.96673373433213,25.42074647439216,25.59069088594301,2230,2018-01-28,6.888366604056991,3.5540880940570005,1,2,32.229854706015054,32.47905749,32.80206038000006,29.315453168676164,29.14477898000001,210,2018,"{""type"":""MultiPoint"",""coordinates"":[]}",0.7142857142857143,True,9.282853171546076,1.3636745011020182,-1.1843435234412982,Background range
2,37.962027663636384,33.78977153360784,33.7224180644209,3706,2018-02-13,5.637113685579131,2.4935606915791126,2,2,39.10352205200003,39.35953175000003,39.92521406000003,36.012634485470315,36.21597875600001,253,2018,"{""type"":""MultiPoint"",""coordinates"":[]}",0.8605442176870748,True,8.426833472904178,1.6478439934050328,-1.141880072149074,Background range
3,41.966284703000014,36.86874488274955,36.85104687200002,1979,2018-03-01,9.37528705800002,3.8613371940000007,3,2,45.61450835000002,46.22633393000004,46.79543426000001,41.16767761278504,40.71238406600002,242,2018,"{""type"":""MultiPoint"",""coordinates"":[]}",0.8231292517006803,True,9.255713324999997,1.57838768186848,0.05109731842886812,Background range
4,42.713339432524286,37.76679677569679,37.39586486747115,736,2018-03-17,11.012874832528864,8.512023532528879,3,2,48.21846992000004,48.40873970000001,48.80181200000004,45.08265547499684,45.907888400000026,110,2018,"{""type"":""MultiPoint"",""coordinates"":[]}",0.3741496598639456,False,9.255713324999997,1.57838768186848,0.7508859916678827,Background range
6,41.68867322037008,36.09140721603858,35.693592475746776,3802,2018-04-18,9.504771939253253,4.705871859253257,4,2,44.52586898000003,45.19836441500003,46.3750178,40.30141563559568,40.39946433500003,294,2018,"{""type"":""MultiPoint"",""coordinates"":[]}",1.0,True,8.717302541336988,1.2942534602992204,0.4103839383534068,Background range
7,49.42375895288821,41.21187976343802,40.440136443072966,3072,2018-05-04,12.36759499692706,5.4067972669270645,5,2,51.69174791000003,52.807731440000026,53.94422309000004,45.922152434787655,45.84693371000003,294,2018,"{""type"":""MultiPoint"",""coordinates"":[]}",1.0,True,9.526327090928367,2.659472256821113,0.7205974579649241,Background range
8,42.448396424000016,36.014580185285794,36.32310737278531,2328,2018-05-20,4.126772757214717,0.6506967809671593,5,2,40.2225818,40.449880130000025,40.72161272000005,36.081636224752415,36.97380415375247,85,2018,"{""type"":""MultiPoint"",""coordinates"":[]}",0.2891156462585034,False,9.526327090928367,2.659472256821113,-1.3694256422644209,Background range
9,55.30003351496648,47.20695753275173,46.69533147477488,4482,2018-06-05,8.255498505225106,2.638837140225135,6,2,54.145886270000034,54.95082997999998,56.49577502,49.043495129955616,49.33416861500001,149,2018,"{""type"":""MultiPoint"",""coordinates"":[]}",0.5068027210884354,True,8.137254954762348,1.2319792138873433,0.06473662968970154,Background range
16,52.69362361558948,44.16889032992884,43.56344103949116,4906,2018-09-25,12.410231425508847,6.0492962055088455,9,2,55.065333650000014,55.97367246500001,56.89739236999998,49.39157284167002,49.612737245000005,294,2018,"{""type"":""MultiPoint"",""coordinates"":[]}",1.0,True,9.749304795460446,2.350647697042737,0.7635216565505658,Background range
